Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0603_1608Metric",111.975000,-62.590000,90.000000,top
"C4","10uF","C_0603_1608Metric",136.935000,-74.910000,0.000000,top
"C5","10uF","C_0603_1608Metric",147.055000,-82.900000,-90.000000,top
"C6","22uF","C_0603_1608Metric",152.565000,-82.910000,-90.000000,top
"C7","10uF","C_0603_1608Metric",140.040000,-74.890000,180.000000,top
"C8","10uF","C_0603_1608Metric",150.735000,-78.200000,0.000000,top
"C9","10uF","C_0603_1608Metric",154.945000,-75.460000,-90.000000,top
"C10","10uF","C_0603_1608Metric",158.825000,-87.425000,0.000000,top
"C11","100nF","C_0402_1005Metric",156.150000,-87.400000,180.000000,top
"C12","220pF","C_0603_1608Metric",163.295000,-76.960000,90.000000,top
"C13","220pF","C_0603_1608Metric",161.025000,-77.000000,-90.000000,top
"C14","27pF","C_0603_1608Metric",123.995000,-85.180000,-90.000000,top
"C15","27pF","C_0603_1608Metric",129.965000,-85.150000,-90.000000,top
"C16","100nF","C_0402_1005Metric",126.085000,-77.880000,0.000000,top
"C17","100nF","C_0402_1005Metric",113.775000,-80.090000,180.000000,top
"C18","1uF","C_0402_1005Metric",114.535000,-76.320000,180.000000,top
"C19","100nF","C_0402_1005Metric",113.775000,-78.290000,180.000000,top
"C20","1uF","C_0402_1005Metric",114.525000,-75.280000,180.000000,top
"C21","100nF","C_0402_1005Metric",121.215000,-83.350000,180.000000,top
"C22","100nF","C_0402_1005Metric",118.165000,-83.360000,0.000000,top
"C23","100nF","C_0402_1005Metric",116.975000,-73.290000,90.000000,top
"C24","100nF","C_0402_1005Metric",121.085000,-72.660000,90.000000,top
"C25","100nF","C_0402_1005Metric",126.075000,-78.890000,0.000000,top
"C26","100nF","C_0402_1005Metric",114.525000,-74.270000,180.000000,top
"C27","100nF","C_0402_1005Metric",111.195000,-88.800000,90.000000,top
"D1","DF2S6.8FS","D_SOD-923",106.587500,-86.440000,0.000000,top
"D2","DF2S6.8FS","D_SOD-923",108.065000,-75.890000,0.000000,top
"D3","DF2S6.8FS","D_SOD-923",108.017500,-79.975000,0.000000,top
"D4","B5819W SL","D_SOD-123",128.145000,-88.720000,180.000000,top
"D5","CHARGE_LED","LED_0805_2012Metric",147.135000,-78.560000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",101.215000,-79.320000,-90.000000,top
"J3","Micro_SD_Card_Det","microSD_HC_Molex_104031-0811",104.475000,-65.310000,90.000000,top
"J4","Conn_01x05_Male","JST_PH_B5B-PH-SM4-TB_1x05-1MP_P2.00mm_Vertical",151.575000,-63.175000,0.000000,top
"L1","2.2uH","L_Sunlord_MWSA05xxS",143.285000,-82.830000,-90.000000,top
"Q1","DMG2305UX","SOT-23",134.185000,-88.502500,90.000000,top
"R1","5.1K","R_0603_1608Metric",108.675000,-83.330000,180.000000,top
"R2","5.1K","R_0603_1608Metric",107.675000,-73.975000,180.000000,top
"R3","10K","R_0603_1608Metric",115.875000,-64.090000,-90.000000,top
"R4","10K","R_0603_1608Metric",122.075000,-65.710000,-90.000000,top
"R5","10K","R_0603_1608Metric",118.985000,-64.910000,90.000000,top
"R6","10K","R_0603_1608Metric",117.475000,-64.890000,-90.000000,top
"R7","10K","R_0603_1608Metric",120.575000,-65.700000,-90.000000,top
"R8","10K","R_0603_1608Metric",114.375000,-64.070000,-90.000000,top
"R9","27R","R_0603_1608Metric",108.525000,-77.200000,0.000000,top
"R10","27R","R_0603_1608Metric",108.525000,-78.725000,0.000000,top
"R11","1K","R_0603_1608Metric",135.125000,-77.190000,90.000000,top
"R12","10K","R_0603_1608Metric",133.565000,-77.190000,90.000000,top
"R13","2K7","R_0603_1608Metric",146.505000,-76.240000,0.000000,top
"R14","24.3K","R_0805_2012Metric",150.885000,-80.010000,0.000000,top
"R15","2K7","R_0603_1608Metric",153.375000,-79.630000,90.000000,top
"R16","27K","R_0603_1608Metric",142.560000,-76.010000,90.000000,top
"R17","27K","R_0603_1608Metric",142.365000,-78.360000,0.000000,top
"R18","1K","R_0603_1608Metric",127.305000,-82.350000,180.000000,top
"R19","1K","R_0603_1608Metric",128.795000,-79.130000,-90.000000,top
"R20","10K","R_0603_1608Metric",122.875000,-89.230000,180.000000,top
"SW6","BOOTSEL","SW_SPST_SKQG_WithoutStem",128.175000,-64.400000,0.000000,top
"U2","BQ25172","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",138.630000,-77.370000,0.000000,top
"U3","TLV61070A","TSOP-6_1.65x3.05mm_P0.95mm",149.815000,-82.900000,90.000000,top
"U4","XC6206P332MR","SOT-23-3",151.905000,-75.420000,180.000000,top
"U5","MAX98357","TQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm",157.735000,-84.040000,0.000000,top
"U6","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",120.105000,-78.440000,90.000000,top
"U7","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",116.565000,-87.310000,180.000000,top
"Y1","X322512MSB4SI","Crystal_SMD_3225-4Pin_3.2x2.5mm",126.955000,-85.070000,0.000000,top
