Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0603_1608Metric",111.100000,-62.000000,90.000000,top
"C4","10uF","C_0603_1608Metric",145.642500,-75.320000,0.000000,top
"C5","10uF","C_0603_1608Metric",152.500000,-82.570000,-90.000000,top
"C6","22uF","C_0603_1608Metric",157.700000,-82.900000,-90.000000,top
"C7","10uF","C_0603_1608Metric",148.747500,-75.300000,180.000000,top
"C8","10uF","C_0603_1608Metric",154.460000,-78.300000,0.000000,top
"C9","10uF","C_0603_1608Metric",158.670000,-75.560000,-90.000000,top
"C10","10uF","C_0603_1608Metric",163.321250,-76.510000,0.000000,top
"C11","100nF","C_0402_1005Metric",160.721250,-76.610000,180.000000,top
"C12","220pF","C_0603_1608Metric",171.100000,-71.400000,90.000000,top
"C13","220pF","C_0603_1608Metric",169.100000,-71.400000,-90.000000,top
"C14","27pF","C_0603_1608Metric",123.995000,-85.180000,-90.000000,top
"C15","27pF","C_0603_1608Metric",129.965000,-85.150000,-90.000000,top
"C16","100nF","C_0402_1005Metric",126.085000,-77.880000,0.000000,top
"C17","100nF","C_0402_1005Metric",113.775000,-80.090000,180.000000,top
"C18","1uF","C_0402_1005Metric",114.535000,-76.320000,180.000000,top
"C19","100nF","C_0402_1005Metric",113.775000,-78.290000,180.000000,top
"C20","1uF","C_0402_1005Metric",114.525000,-75.280000,180.000000,top
"C21","100nF","C_0402_1005Metric",121.215000,-83.350000,180.000000,top
"C22","100nF","C_0402_1005Metric",118.165000,-83.360000,0.000000,top
"C23","100nF","C_0402_1005Metric",116.975000,-73.290000,90.000000,top
"C24","100nF","C_0402_1005Metric",121.100000,-72.100000,90.000000,top
"C25","100nF","C_0402_1005Metric",126.075000,-78.890000,0.000000,top
"C26","100nF","C_0402_1005Metric",114.525000,-74.270000,180.000000,top
"C27","100nF","C_0402_1005Metric",111.195000,-88.800000,90.000000,top
"D1","DF2S6.8FS","D_SOD-923",106.587500,-86.440000,0.000000,top
"D2","DF2S6.8FS","D_SOD-923",108.065000,-75.890000,0.000000,top
"D3","DF2S6.8FS","D_SOD-923",108.017500,-79.975000,0.000000,top
"D4","B5819W SL","D_SOD-123",127.100000,-89.300000,180.000000,top
"D5","CHARGE_LED","LED_0805_2012Metric",138.800000,-90.800000,180.000000,top
"D6","B5819W SL","D_SOD-123",133.000000,-89.300000,180.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",101.215000,-79.320000,-90.000000,top
"J3","Micro_SD_Card_Det","microSD_HC_Molex_104031-0811",103.700000,-65.600000,90.000000,top
"J4","Conn_01x05_Male","JST_PH_B5B-PH-SM4-TB_1x05-1MP_P2.00mm_Vertical",151.575000,-63.175000,0.000000,top
"J6","Conn_02x02_Top_Bottom","PinHeader_2x02_P2.54mm_Vertical",168.700000,-87.000000,0.000000,top
"J7","Screw_Terminal_Speaker","TerminalBlock_bornier-2_P5.08mm",171.200000,-66.140000,90.000000,top
"L1","2.2uH","L_Sunlord_MWSA05xxS",148.800000,-83.600000,-90.000000,top
"Q1","DMG2305UX","SOT-23",144.000000,-88.300000,90.000000,top
"Q2","AO3400A","SOT-23",138.000000,-76.800000,90.000000,top
"R1","5.1K","R_0603_1608Metric",108.675000,-83.330000,180.000000,top
"R2","5.1K","R_0603_1608Metric",107.675000,-73.975000,180.000000,top
"R3","10K","R_0603_1608Metric",112.900000,-62.000000,90.000000,top
"R4","10K","R_0603_1608Metric",122.075000,-65.710000,-90.000000,top
"R5","10K","R_0603_1608Metric",118.985000,-64.910000,90.000000,top
"R6","10K","R_0603_1608Metric",117.475000,-64.890000,-90.000000,top
"R7","10K","R_0603_1608Metric",120.575000,-65.700000,-90.000000,top
"R8","10K","R_0603_1608Metric",111.300000,-69.300000,-90.000000,top
"R9","27R","R_0603_1608Metric",108.525000,-77.200000,0.000000,top
"R10","27R","R_0603_1608Metric",108.525000,-78.725000,0.000000,top
"R11","1K","R_0603_1608Metric",144.807500,-77.610000,90.000000,top
"R12","10K","R_0603_1608Metric",143.222500,-77.610000,90.000000,top
"R13","2K7","R_0603_1608Metric",144.000000,-80.900000,0.000000,top
"R14","24.3K","R_0805_2012Metric",154.900000,-80.110000,0.000000,top
"R15","2K7","R_0603_1608Metric",157.400000,-79.600000,90.000000,top
"R16","27K","R_0603_1608Metric",151.300000,-76.400000,90.000000,top
"R17","27K","R_0603_1608Metric",151.400000,-78.770000,0.000000,top
"R18","1K","R_0603_1608Metric",127.305000,-82.350000,180.000000,top
"R19","1K","R_0603_1608Metric",128.795000,-79.130000,-90.000000,top
"R20","10K","R_0603_1608Metric",122.875000,-89.230000,180.000000,top
"R21","10K","R_0603_1608Metric",141.500000,-81.300000,90.000000,top
"R22","27K","R_0603_1608Metric",135.500000,-87.300000,0.000000,top
"R23","27K","R_0603_1608Metric",179.900000,-81.300000,0.000000,top
"SW1","PWR","SW_E-Switch_EG1224_SPDT_Angled",176.542500,-86.267500,0.000000,top
"SW6","BOOTSEL","SW_SPST_SKQG_WithoutStem",127.600000,-64.400000,0.000000,top
"U2","BQ25172","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",147.307500,-77.510000,0.000000,top
"U3","TLV61070A","TSOP-6_1.65x3.05mm_P0.95mm",155.100000,-82.900000,90.000000,top
"U4","XC6206P332MR","SOT-23-3",155.630000,-75.520000,180.000000,top
"U5","MAX98357","TQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm",162.221250,-73.515000,0.000000,top
"U6","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",120.105000,-78.440000,90.000000,top
"U7","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",116.565000,-87.310000,180.000000,top
"Y1","X322512MSB4SI","Crystal_SMD_3225-4Pin_3.2x2.5mm",126.955000,-85.070000,0.000000,top
