Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0402_1005Metric",164.250000,-95.750000,-90.000000,top
"D1","LED","LED_0805_2012Metric",109.900000,-102.100000,0.000000,top
"D2","LED","LED_0805_2012Metric",114.900000,-102.100000,0.000000,top
"D3","LED","LED_0805_2012Metric",119.900000,-102.100000,0.000000,top
"D4","LED","LED_0805_2012Metric",124.900000,-102.100000,0.000000,top
"D5","LED","LED_0805_2012Metric",129.900000,-102.100000,0.000000,top
"D6","LED","LED_0805_2012Metric",134.900000,-102.100000,0.000000,top
"D7","LED","LED_0805_2012Metric",139.900000,-102.100000,0.000000,top
"D8","LED","LED_0805_2012Metric",144.900000,-102.100000,0.000000,top
"J1","Conn_01x05_Male","JST_PH_B5B-PH-SM4-TB_1x05-1MP_P2.00mm_Vertical",153.750000,-94.000000,180.000000,top
"R1","2K7","R_0603_1608Metric",116.500000,-97.700000,-90.000000,top
"R2","2K7","R_0603_1608Metric",118.700000,-97.700000,-90.000000,top
"R3","2K7","R_0603_1608Metric",120.800000,-97.700000,-90.000000,top
"R4","2K7","R_0603_1608Metric",122.900000,-97.700000,-90.000000,top
"R5","2K7","R_0603_1608Metric",125.000000,-97.675000,-90.000000,top
"R6","2K7","R_0603_1608Metric",127.100000,-97.675000,-90.000000,top
"R7","2K7","R_0603_1608Metric",129.300000,-97.675000,-90.000000,top
"R8","2K7","R_0603_1608Metric",131.500000,-97.675000,-90.000000,top
"U1","MCP23017_ML","QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm",168.452598,-94.630000,0.000000,top
