Comment,Designator,Footprint,LCSC
"10uF","C1,C5,C7,C8","Capacitor_SMD:C_0805_2012Metric","C15850"
"0.1uF","C2,C6,C10,C11","Capacitor_SMD:C_0805_2012Metric","C28233"
"220pF","C3,C4","Capacitor_SMD:C_0805_2012Metric","C107145"
"CHARGE_LED","D1","LED_SMD:LED_0805_2012Metric","C84256"
"Ferrite","FB1,FB2","Library:Ferrite-0805","C1015"
"Micro_SD_Card_Det","J2","Connector_Card:microSD_HC_Molex_104031-0811","C585350"
"DMG2305UX","Q1","Package_TO_SOT_SMD:SOT-23","C2940629"
"20K","R11,R12","Resistor_SMD:R_0805_2012Metric","C17544"
"2K7","R14,R15,R16","Resistor_SMD:R_0805_2012Metric","C17530"
"10K","R9,R17,R18,R19,R20,R21,R22,R23","Resistor_SMD:R_0805_2012Metric","C17414"
"47K","R2,R3,R4,R5,R6,R7","Resistor_SMD:R_0805_2012Metric","C17673"
"1K","R8,R10","Resistor_SMD:R_0805_2012Metric","C17513"
"MAX98357","U2","Package_DFN_QFN:TQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm","C910544"
"BQ25172","U3","Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm","C5189434"
"74HC4051","U5","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","C507180"
"4072","U6","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C2862967"
