Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric",189.335000,-51.200000,0.000000,top
"C2","0.1uF","C_0805_2012Metric",189.345000,-53.400000,0.000000,top
"C3","0.1uF","C_0805_2012Metric",113.450000,-92.030000,90.000000,top
"C4","0.1uF","C_0805_2012Metric",113.880000,-104.660000,-90.000000,top
"C5","10uF","C_0805_2012Metric",181.155000,-64.455000,0.000000,top
"C6","10uF","C_0805_2012Metric",184.775000,-64.435000,180.000000,top
"C7","10uF","C_0805_2012Metric",183.195000,-79.455000,180.000000,top
"C8","22uF","C_0805_2012Metric",182.955000,-85.365000,180.000000,top
"C9","10uF","C_0805_2012Metric",173.815000,-88.915000,90.000000,top
"C10","0.1uF","C_0805_2012Metric",175.855000,-88.895000,90.000000,top
"C11","220pF","C_0805_2012Metric",175.245000,-92.745000,180.000000,top
"C12","220pF","C_0805_2012Metric",182.655000,-92.805000,0.000000,top
"D1","CHARGE_LED","LED_0805_2012Metric",186.605000,-68.345000,0.000000,top
"FB1","Ferrite","Ferrite-0805",178.825000,-92.795000,180.000000,top
"FB2","Ferrite","Ferrite-0805",186.295000,-92.795000,180.000000,top
"J1","Micro_SD_Card_Det","microSD_HC_Molex_104031-0811",180.465000,-49.625000,0.000000,top
"J3","Conn_01x06_Male","JST_PH_B6B-PH-SM4-TB_1x06-1MP_P2.00mm_Vertical",138.725000,-83.345000,90.000000,top
"J4","Conn_01x06_Male","JST_PH_B6B-PH-SM4-TB_1x06-1MP_P2.00mm_Vertical",108.230000,-83.240000,90.000000,top
"L1","2.2uH","L_Sunlord_MWSA06xxS",180.225000,-74.585000,180.000000,top
"Q1","DMG2305UX","SOT-23",188.275000,-60.565000,-90.000000,top
"R1","47K","R_0805_2012Metric",189.325000,-55.495000,180.000000,top
"R2","47K","R_0805_2012Metric",141.455000,-58.035000,0.000000,top
"R3","47K","R_0805_2012Metric",141.505000,-65.695000,0.000000,top
"R4","47K","R_0805_2012Metric",141.525000,-68.225000,0.000000,top
"R5","47K","R_0805_2012Metric",141.445000,-60.635000,0.000000,top
"R6","47K","R_0805_2012Metric",175.400000,-57.300000,0.000000,top
"R7","2K7","R_0805_2012Metric",114.110000,-79.550000,-90.000000,top
"R8","2K7","R_0805_2012Metric",117.050000,-79.630000,-90.000000,top
"R9","2K7","R_0805_2012Metric",120.190000,-79.550000,-90.000000,top
"R10","10K","R_0805_2012Metric",126.510000,-94.970000,0.000000,top
"R11","10K","R_0805_2012Metric",126.450000,-97.280000,0.000000,top
"R12","10K","R_0805_2012Metric",107.060000,-67.510000,0.000000,top
"R13","10K","R_0805_2012Metric",106.950000,-72.290000,0.000000,top
"R14","10K","R_0805_2012Metric",106.950000,-69.880000,0.000000,top
"R15","10K","R_0805_2012Metric",126.450000,-99.375000,0.000000,top
"R16","10K","R_0805_2012Metric",126.480000,-101.540000,0.000000,top
"R17","1K","R_0805_2012Metric",179.875000,-68.115000,90.000000,top
"R18","10K","R_0805_2012Metric",177.895000,-68.115000,90.000000,top
"R19","1K","R_0805_2012Metric",186.595000,-70.385000,0.000000,top
"R20","20K","R_0805_2012Metric",189.615000,-65.165000,90.000000,top
"R21","20K","R_0805_2012Metric",187.605000,-65.165000,90.000000,top
"R22","10K","R_0805_2012Metric",177.185000,-79.455000,0.000000,top
"R23","90.9K","R_0805_2012Metric",186.465000,-85.345000,0.000000,top
"R24","10K","R_0805_2012Metric",186.375000,-82.575000,90.000000,top
"U2","74HC4051","SOIC-16_3.9x9.9mm_P1.27mm",108.560000,-97.670000,0.000000,top
"U3","4072","SOIC-14_3.9x8.7mm_P1.27mm",108.380000,-109.230000,0.000000,top
"U4","BQ25172","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",182.965000,-66.795000,0.000000,top
"U5","TLV61070A","TSOP-6_1.65x3.05mm_P0.95mm",182.255000,-82.485000,0.000000,top
"U6","MAX98357","TQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm",179.205000,-88.985000,0.000000,top
